threshold,rst_rule_based_f1,lr_combined_dsnb_f1,gated_bert_pairwise_f1,lgsm_f1,lgsm_precision,lgsm_recall
0.0,0.817794028031688,0.817794028031688,0.817794028031688,0.817794028031688,0.6917525773195876,1.0
0.05,0.817794028031688,0.8178484107579462,0.7790055248618785,0.817794028031688,0.6917525773195876,1.0
0.1,0.817794028031688,0.817625458996328,0.7694463910301331,0.817794028031688,0.6917525773195876,1.0
0.15000000000000002,0.817794028031688,0.8237476808905381,0.7691218130311614,0.817794028031688,0.6917525773195876,1.0
0.2,0.817794028031688,0.8274111675126904,0.7665952890792291,0.817794028031688,0.6917525773195876,1.0
0.25,0.817794028031688,0.8228346456692913,0.7644953471725126,0.817794028031688,0.6917525773195876,1.0
0.30000000000000004,0.817794028031688,0.8101788170563962,0.7634795111430626,0.817794028031688,0.6917525773195876,1.0
0.35000000000000003,0.817794028031688,0.8043165467625899,0.7615606936416185,0.817794028031688,0.6917525773195876,1.0
0.4,0.8178484107579462,0.768160741885626,0.7607272727272727,0.8258706467661692,0.7086446104589115,0.9895678092399404
0.45,0.8129272840273462,0.7387387387387387,0.7600291757840992,0.8273092369477911,0.7509113001215066,0.9210134128166915
0.5,0.8077645585472761,0.6869565217391305,0.7598828696925329,0.7588996763754046,0.8300884955752212,0.698956780923994
0.55,0.7904884318766067,0.6382189239332097,0.7569955817378498,0.4694104560622914,0.9254385964912281,0.3144560357675112
0.6000000000000001,0.733142037302726,0.5948616600790514,0.7586715867158672,0.17166212534059946,1.0,0.09388971684053651
0.65,0.5636042402826855,0.5277486910994764,0.7566765578635015,0.04941860465116279,1.0,0.02533532041728763
0.7000000000000001,0.41358024691358025,0.452914798206278,0.753731343283582,0.008902077151335312,1.0,0.004470938897168405
0.75,0.3693304535637149,0.38961038961038963,0.7511244377811095,0.0,0.0,0.0
0.8,0.14905149051490515,0.3163138231631382,0.7498121712997746,0.0,0.0,0.0
0.8500000000000001,0.13953488372093023,0.24771838331160365,0.7422053231939163,0.0,0.0,0.0
0.9,0.1168289290681502,0.17639077340569878,0.7386973180076628,0.0,0.0,0.0
0.9500000000000001,0.06847360912981455,0.10704225352112676,0.7328125,0.0,0.0,0.0
1.0,0.0,0.0,0.38799076212471134,0.0,0.0,0.0
