Balancing Method,Training Samples,Salient (Class 1),Non-Salient (Class 0),Label Balance
None (Unbalanced Raw),3896,2523,1373,64.76% / 35.24%
Pairwise,4530,2265,2265,50.00% / 50.00%
Cluster,3650,1825,1825,50.00% / 50.00%
RST-Neighborhood,3650,1825,1825,50.00% / 50.00%
DSNB (Proposed),3650,1825,1825,50.00% / 50.00%
